Individual;rdf:type;dbc:dataLength;dbc:encodedVia;dbc:hasDecID;dbc:hasSignal;dbc:hasTransmitter;sosa:isObservedBy
BoeningXIV;dbc:Message;8;Wastewater75PercentEncoding;419368193;Wastewater75Percent;Unknown;can2_sniffer
BoeningXIV;dbc:Message;8;Wastewater90PercentEncoding;419368193;Wastewater90Percent;Unknown;can2_sniffer
BoeningXIV;dbc:Message;8;KFWAPumpPowerIndicatorEncoding;419368193;KFWAPumpPowerIndicator;Unknown;can2_sniffer
BoeningXIV;dbc:Message;8;TankAlarmActiveEncoding;419368193;TankAlarmActive;Unknown;can2_sniffer
BoeningXV;dbc:Message;8;LargeAuxDieselEngineHydraulicActiveEncoding;419368449;LargeAuxDieselEngineHydraulicActive;Unknown;can2_sniffer
BoeningXV;dbc:Message;8;ShoreConnectionOnEncoding;419368449;ShoreConnectionOn;Unknown;can2_sniffer
BoeningXV;dbc:Message;8;LargeAuxDieselEngineGSLEncoding;419368449;LargeAuxDieselEngineGSL;Unknown;can2_sniffer
BoeningXV;dbc:Message;8;SmallAuxDieselEngineGSLEncoding;419368449;SmallAuxDieselEngineGSL;Unknown;can2_sniffer
BoeningXV;dbc:Message;8;LargeAuxDieselEngineAutomaticModeEncoding;419368449;LargeAuxDieselEngineAutomaticMode;Unknown;can2_sniffer
BoeningXV;dbc:Message;8;SmallAuxDieselEngineAutomaticModeEncoding;419368449;SmallAuxDieselEngineAutomaticMode;Unknown;can2_sniffer
